Build Type,Date,Work Request,Total,Rejects,Yield (%)
ERP,2/3/2025,NWK-WR12715,1960,83,96
ERP,2/4/2025,NWK-WR12716,4266,21,100
ERP,2/5/2025,NWK-WR12717,2119,19,99
ERP,3/7/2025,NWK-WR12870,2921,2,100
ERP,3/10/2025,NWK-WR12870,3098,191,94
ERP,3/11/2025,NWK-WR12870,1590,47,97
ERP,3/12/2025,NWK-WR12870,3501,66,98
ERP,3/13/2025,NWK-WR12870,3088,270,91
ERP,3/14/2025,NWK-WR12870,3458,313,91
ERP,3/17/2025,NWK-WR12870,3629,447,88
ERP,3/18/2025,NWK-WR12870,3452,314,91
BCID,3/19/2025,NWK-WR12953,3590,40,99
BCID,3/20/2025,NWK-WR12953,3743,19,99
Cart A OC ,3/21/2025,NWK-WR13098,2304,0,100
OC BCID,3/25/2025,NWK-WR12953,3538,16,100
OC BCID,3/26/2025,NWK-WR12953,3724,23,99
Cart A+ OC ,4/4/2025,040325BJ02,2908,111,96
Cart A+ OC ,4/7/2025,040325BJ02,5071,207,96
Cart A+ OC ,4/8/2025,040325BJ02,1547,0,100
